fantacalcio_id,api_player_id,season,status,note
7526,48372,2026/27,accepted,Eray Comert - profilo svizzero 1998
7535,36895,2026/27,accepted,Kian Fitz-Jim - profilo olandese 2003
7532,377118,2026/27,accepted,Raphael Kofler - profilo italiano 2005
7464,627366,2026/27,accepted,Inao Oulai - nuovo profilo provider
7449,318546,2026/27,accepted,Albion Rrahmani - profilo kosovaro 2000
7202,,2026/27,excluded,Abdoulaye Ndiaye Parma - ID provider ambiguo al 2026-08-05
5786,9938,2022/23,accepted,Arthur Cabral
6058,1604,2022/23,accepted,Mady Camara
21,30806,2022/23,accepted,Marco D'Alessandro
253,193,2022/23,accepted,Danilo D'Ambrosio
6019,341978,2022/23,accepted,Luca D'Andrea
1857,30539,2022/23,accepted,Federico Di Francesco
5471,31692,2022/23,accepted,Milan Djuric
1995,30536,2022/23,accepted,Filip Djuricic
4408,56558,2022/23,accepted,Salvatore Esposito
5892,2897,2022/23,accepted,Kim Min-Jae
4530,26828,2022/23,accepted,Giorgos Kyriakopoulos
530,782,2022/23,accepted,Lorenzo Pellegrini
770,30775,2022/23,accepted,Giuseppe Pezzella
5425,182280,2022/23,accepted,Kacper Urbanski
253,193,2023/24,accepted,Danilo D'Ambrosio
5471,31692,2023/24,accepted,Milan Djuric
6533,6050,2023/24,accepted,Lautaro Giannetti
6255,30704,2023/24,accepted,Stefano Gori
4530,26828,2023/24,accepted,Giorgos Kyriakopoulos
530,782,2023/24,accepted,Lorenzo Pellegrini
6460,212842,2023/24,accepted,Marco Pellegrino
770,30775,2023/24,accepted,Giuseppe Pezzella
6563,398185,2023/24,accepted,Matija Popovic
1997,31003,2023/24,accepted,Simy Nwankwo
5425,182280,2023/24,accepted,Kacper Urbanski
6975,330419,2024/25,accepted,Alberto Costa
253,193,2024/25,accepted,Danilo D'Ambrosio
5471,31692,2024/25,accepted,Milan Djuric
6533,6050,2024/25,accepted,Lautaro Giannetti
6914,438672,2024/25,accepted,Anas Haj Mohamed
345,213,2024/25,accepted,Keita Balde
4530,26828,2024/25,accepted,Giorgos Kyriakopoulos
7015,336555,2024/25,accepted,Estanis Pedrola
530,782,2024/25,accepted,Lorenzo Pellegrini
770,30775,2024/25,accepted,Giuseppe Pezzella
6644,343287,2024/25,accepted,Dailon Rocha Livramento
4386,56161,2024/25,accepted,Marco Sala
5900,195893,2024/25,accepted,Isaak Toure
5425,182280,2024/25,accepted,Kacper Urbanski
5471,31692,2025/26,accepted,Milan Djuric
7285,529998,2025/26,accepted,Mathias Ferrante
7202,,2025/26,excluded,Abdoulaye Ndiaye Parma - ID provider ambiguo al 2026-08-06
530,782,2025/26,accepted,Lorenzo Pellegrini
770,30775,2025/26,accepted,Giuseppe Pezzella
4998,6503,2026/27,accepted,Nahuel Molina - rosa AS Roma verificata al 2026-08-18
5946,957,2026/27,accepted,Djibril Sow - trasferimento Genoa verificato al 2026-08-18
6727,197448,2026/27,accepted,Yan Couto - trasferimento Como verificato al 2026-08-18
7546,380691,2026/27,accepted,Jay Robinson - prestito Monza verificato al 2026-08-18
7548,264477,2026/27,accepted,Giuseppe Aurelio - trasferimento Cagliari verificato al 2026-08-18
7550,719,2026/27,accepted,Florian Grillitsch - trasferimento Frosinone verificato al 2026-08-18
7551,7562,2026/27,accepted,Romano Schmid - trasferimento Frosinone verificato al 2026-08-18
7554,194905,2026/27,accepted,David Romero - trasferimento Parma verificato al 2026-08-18
